Date,Close,balance,trade,stock_value,whole_value
96,110.3411468,45984.13496,,99307.03208,145291.167
97,110.494265,45984.13496,,99444.83846,145428.9734
98,111.5651603,45984.13496,,100408.6442,146392.7792
99,107.2672161,45984.13496,,96540.49451,142524.6295
100,106.1784738,43039.76025,,95560.62641,138600.3867
101,109.4272866,43039.76025,,98484.55795,141524.3182
102,112.2821059,43039.76025,,101053.8953,144093.6556
103,115.1028758,43039.76025,,103592.5882,146632.3485
104,114.1793252,43039.76025,,102761.3926,145801.1529
105,117.6095231,99401.76445,TRUE,47043.80924,146445.5737
106,114.2291355,99401.76445,,45691.65418,145093.4186
107,116.6966575,99401.76445,,46678.663,146080.4275
108,117.9992477,99401.76445,,47199.69909,146601.4635
109,116.595926,99401.76445,,46638.3704,146040.1349
110,116.012506,108503.6618,TRUE,23202.50119,131706.163
111,111.4569556,108503.6618,,22291.39112,130795.053
112,107.5450233,108503.6618,,21509.00466,130012.6665
113,107.740841,108503.6618,,21548.16821,130051.8301
114,111.1810148,108503.6618,,22236.20295,130739.8648
115,107.4357246,81691.72782,FALSE,64461.43477,146153.1626
116,108.6913338,81691.72782,,65214.8003,146906.5281
117,112.6235396,81691.72782,,67574.12378,149265.8516
118,111.4584119,81691.72782,,66875.04715,148566.775
119,113.3409037,81691.72782,,68004.54223,149696.27
120,118.6300979,82393.72912,TRUE,59315.04895,141708.7781
121,116.1810096,82393.72912,,58090.50482,140484.2339
122,112.5425639,82393.72912,,56271.28196,138665.0111
123,112.9693536,82393.72912,,56484.67681,138878.4059
124,109.0915577,82393.72912,,54545.77887,136939.508
125,109.6210074,68002.53198,FALSE,76734.70516,144737.2371
126,115.0024854,68002.53198,,80501.73979,148504.2718
127,115.3909898,68002.53198,,80773.69283,148776.2248
128,119.5329903,68002.53198,,83673.09324,151675.6252
129,120.6323526,68002.53198,,84442.64682,152445.1788
130,115.8009562,100051.7759,TRUE,0,100051.7759
131,115.1435939,100051.7759,,0,100051.7759
132,112.266262,100051.7759,,0,100051.7759
133,111.6869588,100051.7759,,0,100051.7759
134,113.84937,100051.7759,,0,100051.7759
135,110.5549238,78532.3908,FALSE,55277.46191,133809.8527
136,115.0879654,78532.3908,,57543.98269,136076.3735
137,115.464983,78532.3908,,57732.49148,136264.8823
138,114.5439838,78532.3908,,57271.9919,135804.3827
139,109.6885583,78532.3908,,54844.27915,133376.6699
140,107.7335191,86936.53103,FALSE,75413.46336,162349.9944
141,106.4915642,86936.53103,,74544.09494,161480.626
142,113.3421175,86936.53103,,79339.48228,166276.0133
143,116.297014,86936.53103,,81407.90977,168344.4408
144,116.0065158,86936.53103,,81204.56107,168141.0921
145,116.684749,138000.2576,TRUE,23336.94981,161337.2075
146,114.6344836,138000.2576,,22926.89673,160927.1544
147,119.025839,138000.2576,,23805.16781,161805.4255
148,118.7039524,138000.2576,,23740.79048,161741.0481
149,118.5338631,138000.2576,,23706.77261,161707.0303
150,118.535882,142384.2756,TRUE,11853.5882,154237.8638
151,117.3959646,142384.2756,,11739.59646,154123.8721
152,120.8106599,142384.2756,,12081.06599,154465.3416
153,120.3345835,142384.2756,,12033.45835,154417.734
154,122.5609872,142384.2756,,12256.09872,154640.3743
155,123.5476533,143859.1683,TRUE,0,143859.1683
156,122.0199977,143859.1683,,0,143859.1683
157,121.009403,143859.1683,,0,143859.1683
158,120.7500474,143859.1683,,0,143859.1683
159,118.6822762,143859.1683,,0,143859.1683
160,115.4737914,125404.4404,FALSE,34642.13741,160046.5778
161,115.7870166,125404.4404,,34736.10498,160140.5454
162,115.1082127,125404.4404,,34532.4638,159936.9042
163,118.2696695,125404.4404,,35480.90085,160885.3412
164,112.3908134,125404.4404,,33717.24402,159121.6844
165,110.4893913,80952.1459,FALSE,88391.51305,169343.659
166,111.0116128,80952.1459,,88809.29021,169761.4361
167,108.8457779,80952.1459,,87076.62233,168028.7682
168,111.9607561,80952.1459,,89568.60486,170520.7508
169,109.2772622,80952.1459,,87421.80978,168373.9557
170,107.750295,73544.59742,FALSE,96975.26552,170519.8629
171,111.0660718,73544.59742,,99959.46464,173504.0621
172,109.5157217,73544.59742,,98564.14953,172108.7469
173,112.0066744,73544.59742,,100806.007,174350.6044
174,112.6475281,73544.59742,,101382.7753,174927.3727
175,105.0492226,114261.0776,TRUE,73534.45584,187795.5335
176,106.4905198,114261.0776,,74543.36389,188804.4415
177,104.4678262,114261.0776,,73127.47835,187388.556
178,103.6312912,114261.0776,,72541.90382,186802.9815
179,105.5488454,114261.0776,,73884.19178,188145.2694
180,102.0263175,98684.4144,,71418.42225,170102.8367
181,100.7106038,98684.4144,,70497.42265,169181.8371
182,101.1024662,98684.4144,,70771.72636,169456.1408
183,99.53961264,98684.4144,,69677.72885,168362.1432
184,99.34571836,98684.4144,,69542.00286,168226.4173
185,98.90622965,103068.6409,,69234.36076,172303.0016
186,100.798628,103068.6409,,70559.03962,173627.6805
187,98.78105816,103068.6409,,69146.74071,172215.3816
188,96.3140677,103068.6409,,67419.84739,170488.4883
189,100.0023932,103068.6409,,70001.67524,173070.3161
190,102.1369337,110097.5606,,71495.8536,181593.4142
191,102.6067637,110097.5606,,71824.73456,181922.2951
192,102.7791621,110097.5606,,71945.41346,182042.974
193,99.58499679,110097.5606,,69709.49775,179807.0583
194,98.47528998,110097.5606,,68932.70299,179030.2636
195,98.65727625,111229.9982,,69060.09338,180290.0916
196,98.52331222,111229.9982,,68966.31856,180196.3168
197,100.4543079,111229.9982,,70318.01554,181548.0138
198,97.66693922,111229.9982,,68366.85745,179596.8557
199,100.9567613,111229.9982,,70669.73289,181899.7311
200,101.9178656,109607.4673,,71342.50591,180949.9732
201,99.90872502,109607.4673,,69936.10751,179543.5748
