Date,Close,balance,trade,stock_value,whole_value
183,114.4008169,85809.4626,,91520.65354,177330.1161
184,115.034229,85809.4626,,92027.38318,177836.8458
185,114.5723852,73455.04558,,91657.90816,165112.9537
186,117.8201688,73455.04558,,94256.13504,167711.1806
187,115.3129457,73455.04558,,92250.35656,165705.4021
188,113.2214418,73455.04558,,90577.15342,164032.199
189,116.4113662,73455.04558,,93129.09295,166584.1385
190,121.1634754,70551.94163,TRUE,84814.4328,155366.3744
191,120.7484624,70551.94163,,84523.92366,155075.8653
192,120.2799218,70551.94163,,84195.94524,154747.8869
193,115.4761368,70551.94163,,80833.29574,151385.2374
194,114.2203675,70551.94163,,79954.25722,150506.1989
195,112.6473116,64834.48709,,78853.11815,143687.6052
196,112.2504105,64834.48709,,78575.28737,143409.7745
197,112.1304846,64834.48709,,78491.33922,143325.8263
198,106.7612633,64834.48709,,74732.88429,139567.3714
199,112.9994869,64834.48709,,79099.64083,143934.1279
200,116.616839,65537.97952,,81631.78733,147169.7669
201,114.4655284,65537.97952,,80125.86987,145663.8494
202,115.5429405,65537.97952,,80880.05836,146418.0379
203,119.8500406,65537.97952,,83895.02845,149433.008
204,119.9713345,65537.97952,,83979.93416,149517.9137
205,120.4975335,75336.20886,TRUE,48199.01339,123535.2223
206,116.3808937,75336.20886,,46552.35749,121888.5663
207,111.5196212,75336.20886,,44607.8485,119944.0574
208,103.5796769,75336.20886,,41431.87077,116768.0796
209,101.306786,75336.20886,,40522.71439,115858.9232
210,95.57576029,80109.51362,,38230.30411,118339.8177
211,90.90849034,80109.51362,,36363.39614,116472.9098
212,89.48785088,80109.51362,,35795.14035,115904.654
213,90.61629918,80109.51362,,36246.51967,116356.0333
214,90.39477895,80109.51362,,36157.91158,116267.4252
215,89.8249437,97412.09332,,35929.97748,133342.0708
216,86.3120512,97412.09332,,34524.82048,131936.9138
217,96.05798401,97412.09332,,38423.19361,135835.2869
218,101.1568098,97412.09332,,40462.72393,137874.8173
219,98.72854977,97412.09332,,39491.41991,136903.5132
220,99.0356883,126952.7083,,39614.27532,166566.9836
