Date,Close,balance,trade,stock_value,whole_value
195,138.7837684,87460.99686,,194297.2757,281758.2726
196,137.8566319,87460.99686,,192999.2846,280460.2815
197,142.0758988,87460.99686,,198906.2584,286367.2552
198,138.5293443,87460.99686,,193941.082,281402.0789
199,141.680707,87460.99686,,198352.9898,285813.9866
200,143.2443525,91625.09721,,200542.0935,292167.1907
201,143.1295427,91625.09721,,200381.3597,292006.4569
202,143.3016024,91625.09721,,200622.2433,292247.3405
203,146.2798524,91625.09721,,204791.7934,296416.8906
204,148.5153675,91625.09721,,207921.5145,299546.6117
205,151.4578706,109880.0372,TRUE,151457.8706,261337.9078
206,149.3026182,109880.0372,,149302.6182,259182.6554
207,144.852163,109880.0372,,144852.163,254732.2002
208,153.6152057,109880.0372,,153615.2057,263495.2429
209,152.425204,109880.0372,,152425.204,262305.2412
210,150.2147921,96765.44305,TRUE,120171.8337,216937.2767
211,145.9096358,96765.44305,,116727.7086,213493.1517
212,138.9687274,96765.44305,,111174.9819,207940.425
213,138.1322412,96765.44305,,110505.7929,207271.236
214,138.3356264,96765.44305,,110668.5011,207433.9442
215,138.9058451,81773.63934,,111124.6761,192898.3154
216,135.3887985,81773.63934,,108311.0388,190084.6782
217,145.1668497,81773.63934,,116133.4797,197907.1191
218,148.4063132,81773.63934,,118725.0505,200498.6899
219,147.9749609,81773.63934,,118379.9688,200153.6081
220,150.2763393,94691.48814,TRUE,15027.63393,109719.1221
221,147.9635454,94691.48814,,14796.35454,109487.8427
222,149.6881416,94691.48814,,14968.81416,109660.3023
223,150.6133057,94691.48814,,15061.33057,109752.8187
224,147.6901905,94691.48814,,14769.01905,109460.5072
225,149.359147,82066.05973,,14935.9147,97001.97443
226,150.1963636,82066.05973,,15019.63636,97085.69609
227,147.678246,82066.05973,,14767.8246,96833.88433
228,144.4424421,82066.05973,,14444.24421,96510.30394
229,141.1838529,82066.05973,,14118.38529,96184.44502
230,146.3704977,78289.28842,,14637.04977,92926.33819
231,147.4952705,78289.28842,,14749.52705,93038.81547
232,147.2780468,78289.28842,,14727.80468,93017.0931
233,146.6240064,78289.28842,,14662.40064,92951.68906
234,142.7458427,78289.28842,,14274.58427,92563.8727
235,140.7902074,82718.74863,,14079.02074,96797.76937
236,141.9503776,82718.74863,,14195.03776,96913.78639
237,141.6195172,82718.74863,,14161.95172,96880.70035
238,143.6603451,82718.74863,,14366.03451,97084.78315
239,144.9488999,82718.74863,,14494.88999,97213.63862
240,142.9419248,89910.73102,,14294.19248,104204.9235
241,137.2274457,89910.73102,,13722.74457,103633.4756
242,134.5931694,89910.73102,,13459.31694,103370.048
243,132.4043704,89910.73102,,13240.43704,103151.1681
244,131.9071071,89910.73102,,13190.71071,103101.4417
245,134.879593,100771.0374,,13487.9593,114258.9967
246,132.4136563,100771.0374,,13241.36563,114012.403
247,131.8647131,100771.0374,,13186.47131,113957.5087
248,130.3441532,100771.0374,,13034.41532,113805.4527
249,126.3468764,100771.0374,,12634.68764,113405.725
250,129.1599162,126909.2013,,12915.99162,126909.2013
