Date,Open,High,Low,Close,Adj Close,Volume,trade,,,,,balance,average_price,shares
2021/10/6,139.470001,142.149994,138.369995,142,140.191299,83221100,,,,,,93116.00035,145.399994,50
2021/10/7,143.059998,144.220001,142.720001,143.289993,141.464828,61732700,,,,,,93116.00035,145.399994,50
2021/10/8,144.029999,144.179993,142.559998,142.899994,141.079788,58773200,,,,,,93116.00035,145.399994,50
2021/10/11,142.270004,144.809998,141.809998,142.809998,140.990952,64452200,,,,,,93116.00035,145.399994,50
2021/10/12,143.229996,143.25,141.039993,141.509995,139.70752,73035900,,,,,,93116.00035,145.399994,50
2021/10/13,141.240005,141.399994,139.199997,140.910004,139.115158,78762700,,,,,,93116.00035,145.399994,50
2021/10/14,142.110001,143.880005,141.509995,143.759995,141.928864,69907100,,,,,,93116.00035,145.399994,50
2021/10/15,143.770004,144.899994,143.509995,144.839996,142.995087,67940300,,,,,,93116.00035,145.399994,50
2021/10/18,143.449997,146.839996,143.160004,146.550003,144.683319,85589200,,,,,,93116.00035,145.399994,50
2021/10/19,147.009995,149.169998,146.550003,148.759995,146.865173,76378900,,,,,,93116.00035,145.399994,50
2021/10/20,148.699997,149.75,148.119995,149.259995,147.35878,58418800,,,,,,93116.00035,145.399994,50
2021/10/21,148.809998,149.639999,147.869995,149.479996,147.575974,61421000,,,,,,93116.00035,145.399994,50
2021/10/22,149.690002,150.179993,148.639999,148.690002,146.796066,58883400,,,,,,93116.00035,145.399994,50
2021/10/25,148.679993,149.369995,147.619995,148.639999,146.746674,50720600,,,,,,93116.00035,145.399994,50
2021/10/26,149.330002,150.839996,149.009995,149.320007,147.41803,60893400,,,,,,93116.00035,145.399994,50
2021/10/27,149.360001,149.729996,148.490005,148.850006,146.954025,56094900,,,,,,93116.00035,145.399994,50
2021/10/28,149.820007,153.169998,149.720001,152.570007,150.626633,100077900,,,,,,93116.00035,145.399994,50
2021/10/29,147.220001,149.940002,146.410004,149.800003,147.891922,124953200,,,,,,93116.00035,145.399994,50
2021/11/1,148.990005,149.699997,147.800003,148.960007,147.062637,74588300,,,,,,93116.00035,145.399994,50
2021/11/2,148.660004,151.570007,148.649994,150.020004,148.109131,69122000,,,,,,93116.00035,145.399994,50
2021/11/3,150.389999,151.970001,149.820007,151.490005,149.560394,54511500,,,,,,93116.00035,145.399994,50
2021/11/4,151.580002,152.429993,150.639999,150.960007,149.03714,60394600,,,,,,93116.00035,145.399994,50
2021/11/5,151.889999,152.199997,150.059998,151.279999,149.571045,65463900,,,,,,93116.00035,145.399994,50
2021/11/8,151.410004,151.570007,150.160004,150.440002,148.740555,55020900,,,,,,93116.00035,145.399994,50
2021/11/9,150.199997,151.429993,150.059998,150.809998,149.106354,56787900,,,,,,93116.00035,145.399994,50
2021/11/10,150.020004,150.130005,147.850006,147.919998,146.248993,65187100,,,,,,93116.00035,145.399994,50
2021/11/11,148.960007,149.429993,147.679993,147.869995,146.199554,41000000,,,,,,93116.00035,145.399994,50
2021/11/12,148.429993,150.399994,147.479996,149.990005,148.295624,63804000,,,,,,93116.00035,145.399994,50
2021/11/15,150.369995,151.880005,149.429993,150,148.305496,59222800,TRUE,,,,,96866.00035,145.399994,25
2021/11/16,149.940002,151.490005,149.339996,151,149.294205,59256200,,,,,,96866.00035,145.399994,25
2021/11/17,151,155,150.990005,153.490005,151.756058,88807000,,,,,,96866.00035,145.399994,25
2021/11/18,153.710007,158.669998,153.050003,157.869995,156.086578,137827700,,,,,,96866.00035,145.399994,25
2021/11/19,157.649994,161.020004,156.529999,160.550003,158.736343,117305600,,,,,,96866.00035,145.399994,25
2021/11/22,161.679993,165.699997,161,161.020004,159.201019,117467900,,,,,,96866.00035,145.399994,25
2021/11/23,161.119995,161.800003,159.059998,161.410004,159.586594,96041900,,,,,,96866.00035,145.399994,25
2021/11/24,160.75,162.139999,159.639999,161.940002,160.110641,69463600,,,,,,96866.00035,145.399994,25
2021/11/26,159.570007,160.449997,156.360001,156.809998,155.038574,76959800,,,,,,96866.00035,145.399994,25
2021/11/29,159.369995,161.190002,158.789993,160.240005,158.429825,88748200,,,,,,96866.00035,145.399994,25
2021/11/30,159.990005,165.520004,159.919998,165.300003,163.432663,174048100,,,,,,96866.00035,145.399994,25
2021/12/1,167.479996,170.300003,164.529999,164.770004,162.908661,152052500,,,,,,96866.00035,145.399994,25
2021/12/2,158.740005,164.199997,157.800003,163.759995,161.910049,136739200,,,,,,96866.00035,145.399994,25
2021/12/3,164.020004,164.960007,159.720001,161.839996,160.011749,118023100,,,,,,96866.00035,145.399994,25
2021/12/6,164.289993,167.880005,164.279999,165.320007,163.452423,107497000,,,,,,96866.00035,145.399994,25
2021/12/7,169.080002,171.580002,168.339996,171.179993,169.246216,120405400,,,,,,96866.00035,145.399994,25
2021/12/8,172.130005,175.960007,170.699997,175.080002,173.102158,116998900,,,,,,96866.00035,145.399994,25
2021/12/9,174.910004,176.75,173.919998,174.559998,172.588058,108923700,,,,,,96866.00035,145.399994,25
2021/12/10,175.210007,179.630005,174.690002,179.449997,177.422836,115402700,,,,,,96866.00035,145.399994,25
2021/12/13,181.119995,182.130005,175.529999,175.740005,173.75473,153237000,TRUE,,,,,101259.5005,0,0
2021/12/14,175.25,177.740005,172.210007,174.330002,172.360657,139380400,,,,,,101259.5005,0,0
2021/12/15,175.110001,179.5,172.309998,179.300003,177.274521,131063300,,,,,,101259.5005,0,0
2021/12/16,179.279999,181.139999,170.75,172.259995,170.314026,150185800,,,,,,101259.5005,0,0
2021/12/17,169.929993,173.470001,169.690002,171.139999,169.206711,195432700,,,,,,101259.5005,0,0
2021/12/20,168.279999,170.580002,167.460007,169.75,167.832382,107499100,,,,,,101259.5005,0,0
2021/12/21,171.559998,173.199997,169.119995,172.990005,171.035797,91185900,,,,,,101259.5005,0,0
